,location,size,total_sqft,bath,price
2200,other,3.0,1500.0,3.0,88.0
2201,Electronic City,1.0,630.0,1.0,47.0
2203,Kaggadasapura,2.0,1060.0,2.0,48.0
2204,Lingadheeranahalli,3.0,1687.0,3.0,127.0
2205,Thanisandra,3.0,1847.0,3.0,123.0
2206,Begur Road,3.0,1410.0,2.0,53.0
2207,7th Phase JP Nagar,2.0,1075.0,2.0,42.99
2208,Rajaji Nagar,4.0,3526.0,4.0,492.0
2209,BTM Layout,3.0,3000.0,3.0,338.0
2210,Basavangudi,3.0,1500.0,2.0,143.0
2212,Haralur Road,3.0,1875.0,3.0,110.0
2215,Kasturi Nagar,2.0,1101.0,2.0,65.0
2217,Sarjapur  Road,2.0,1215.0,2.0,110.0
2218,Kengeri Satellite Town,2.0,1007.0,2.0,42.0
2219,Bellandur,3.0,2039.0,3.0,168.0
2220,Ulsoor,3.0,1020.0,3.0,110.0
2222,other,4.0,4000.0,4.0,520.0
2230,Kundalahalli,2.0,1010.0,2.0,49.27
2231,KR Puram,2.0,1015.0,2.0,43.0
2233,Lakshminarayana Pura,2.0,1179.0,2.0,75.0
2235,Kammasandra,2.0,870.0,2.0,24.0
2236,Bellandur,3.0,1605.0,3.0,85.0
2237,Banashankari Stage VI,4.0,2800.0,4.0,89.0
2238,Malleshwaram,3.0,2475.0,4.0,320.0
2242,Ramamurthy Nagar,2.0,1200.0,2.0,80.0
2243,other,2.0,1200.0,2.0,125.0
2244,Kammasandra,2.0,1200.0,2.0,66.0
2246,Hennur,2.0,1255.0,2.0,57.5
2247,Hosur Road,2.0,1085.0,2.0,30.38
2248,Kanakpura Road,3.0,1592.0,3.0,125.0
2250,Kogilu,3.0,1934.0,3.0,150.0
2251,Harlur,2.0,1200.0,2.0,49.5
2252,Uttarahalli,6.0,3600.0,6.0,120.0
2253,Old Madras Road,2.0,935.0,2.0,45.0
2254,Bommasandra,2.0,877.0,2.0,30.0
2256,Nagasandra,3.0,1470.0,2.0,110.0
2257,other,1.0,1050.0,1.0,70.0
2258,Hennur Road,2.0,1232.0,2.0,69.61
2259,Ambedkar Nagar,3.0,2225.0,4.0,169.0
2260,other,3.0,1200.0,2.0,80.0
2261,Dasarahalli,3.0,1901.0,3.0,119.0
2262,Sarjapur  Road,3.0,1819.0,3.0,100.0
2264,Banashankari,3.0,2400.0,2.0,460.0
2267,other,4.0,1200.0,4.0,169.0
2269,7th Phase JP Nagar,2.0,1100.0,2.0,44.0
2270,TC Palaya,4.0,4800.0,3.0,302.0
2271,Kothanur,3.0,1435.0,3.0,70.0
2272,6th Phase JP Nagar,4.0,3245.0,4.0,250.0
2273,Sarjapur  Road,3.0,1845.0,4.0,110.0
2274,Jigani,3.0,2400.0,4.0,130.0
2275,HSR Layout,2.0,1140.0,2.0,46.0
2276,Ulsoor,2.0,1200.0,2.0,60.0
2277,Talaghattapura,3.0,2254.0,3.0,170.0
2278,Frazer Town,3.0,1750.0,3.0,150.0
2280,Bommanahalli,1.0,515.0,1.0,25.0
2281,Lingadheeranahalli,3.0,1893.0,3.0,140.0
2282,other,3.0,3025.0,3.0,500.0
2284,Singasandra,2.0,600.0,2.0,36.5
2285,Bisuvanahalli,3.0,1075.0,2.0,90.0
2287,Kasavanhalli,2.0,1200.0,2.0,78.0
2288,Sarjapur  Road,2.0,1233.0,2.0,77.65
2289,Bannerghatta Road,2.0,1255.0,2.0,65.26
2290,Begur Road,2.0,1200.0,2.0,37.8
2291,Varthur,3.0,2145.0,3.0,175.0
2292,1st Phase JP Nagar,5.0,1500.0,5.0,85.0
2293,Kothannur,2.0,740.0,2.0,34.0
2297,Kogilu,1.0,540.0,1.0,36.0
2298,Tumkur Road,3.0,1240.0,2.0,84.0
2300,other,3.0,1865.0,3.0,350.0
2301,Hosa Road,2.0,1104.0,2.0,36.43
2303,Nagavara,2.0,2200.0,2.0,55.0
2306,Thigalarapalya,4.0,3122.0,6.0,245.0
2307,Harlur,2.0,1290.0,2.0,85.0
2309,Kannamangala,4.0,3000.0,4.0,200.0
2311,other,1.0,400.0,1.0,14.0
2313,Malleshwaram,2.0,900.0,2.0,95.0
2314,Rajaji Nagar,6.0,1800.0,4.0,324.0
2315,Hennur Road,2.0,987.0,2.0,49.0
2316,Old Madras Road,3.0,1720.0,3.0,100.0
2317,Hebbal,2.0,1040.0,2.0,50.0
2318,Anandapura,2.0,900.0,2.0,64.0
2319,Raja Rajeshwari Nagar,2.0,1030.0,2.0,50.0
2320,Neeladri Nagar,3.0,2556.0,3.0,133.0
2324,7th Phase JP Nagar,2.0,1270.0,2.0,83.0
2325,Sahakara Nagar,3.0,1655.0,3.0,115.0
2327,Domlur,2.0,1050.0,2.0,85.0
2330,CV Raman Nagar,3.0,1726.0,3.0,145.0
2331,Sarakki Nagar,3.0,2121.0,4.0,253.0
2332,Vittasandra,2.0,1404.0,2.0,75.0
2334,Kengeri,2.0,1025.0,2.0,57.0
2338,other,4.0,3750.0,3.0,550.0
2339,Kothannur,2.0,1197.0,2.0,47.8
2340,Garudachar Palya,2.0,1150.0,2.0,52.75
2341,other,4.0,4800.0,5.0,629.0
2342,R.T. Nagar,2.0,1040.0,2.0,46.0
2343,Banashankari,2.0,1310.0,2.0,80.0
2344,Uttarahalli,3.0,1788.0,3.0,98.34
2345,Raja Rajeshwari Nagar,2.0,1144.0,2.0,38.55
2346,Anjanapura,2.0,1070.0,2.0,39.0
2348,Ambedkar Nagar,3.0,1862.0,3.0,120.0
2349,Margondanahalli,2.0,1200.0,2.0,58.5
2350,Begur Road,2.0,970.0,2.0,27.0
2354,Iblur Village,3.0,1995.0,3.0,135.0
2355,1st Block Jayanagar,4.0,2400.0,4.0,450.0
2356,Hosakerehalli,2.0,1085.0,2.0,47.74
2358,Haralur Road,2.0,1092.0,2.0,44.0
2359,Pattandur Agrahara,3.0,1767.0,3.0,98.0
2361,Bellandur,3.0,1692.0,3.0,88.0
2363,Uttarahalli,3.0,1345.0,2.0,57.0
2365,Gollarapalya Hosahalli,3.0,1408.0,3.0,62.0
2366,Banashankari Stage III,4.0,2400.0,4.0,240.0
2367,Kadugodi,4.0,1920.0,4.0,200.0
2369,Thigalarapalya,3.0,2072.0,4.0,150.0
2370,Malleshwaram,2.0,1420.0,2.0,158.0
2371,Electronics City Phase 1,3.0,2040.0,3.0,137.0
2373,8th Phase JP Nagar,4.0,1200.0,4.0,145.0
2376,KR Puram,2.0,1470.0,2.0,86.0
2377,Hosa Road,2.0,1063.0,2.0,31.9
2379,other,4.0,3500.0,4.0,350.0
2384,Vidyaranyapura,2.0,1060.0,2.0,55.0
2385,other,3.0,1000.0,2.0,110.0
2386,Sector 7 HSR Layout,3.0,1760.0,3.0,145.0
2390,Gottigere,3.0,1300.0,3.0,65.0
2393,Singasandra,2.0,1100.0,2.0,52.0
2394,Harlur,3.0,1752.12,3.0,116.0
2395,Marathahalli,2.0,957.0,2.0,46.9
2396,Balagere,1.0,790.5,1.0,41.9
2399,Yeshwanthpur,1.0,668.0,1.0,36.85
2402,Uttarahalli,2.0,1089.0,2.0,43.55
2403,Thanisandra,3.0,1800.0,3.0,90.0
2404,Yelahanka New Town,1.0,960.0,2.0,18.0
2406,Marathahalli,3.0,1583.0,3.0,105.0
2408,Padmanabhanagar,2.0,1100.0,2.0,65.0
2409,Thyagaraja Nagar,1.0,800.0,1.0,100.0
2410,Vittasandra,2.0,1246.0,2.0,65.0
2411,Dodda Nekkundi,2.0,850.0,2.0,28.0
2412,Raja Rajeshwari Nagar,2.0,1196.0,2.0,51.51
2413,Thanisandra,3.0,1697.0,3.0,114.0
2414,TC Palaya,2.0,1000.0,2.0,64.0
2417,Sarjapur  Road,4.0,3750.0,6.0,290.0
2420,Kammasandra,2.0,1018.0,2.0,23.45
2422,Bharathi Nagar,2.0,1322.0,2.0,68.0
2423,Marsur,4.0,1800.0,4.0,145.0
2424,Doddakallasandra,3.0,1460.0,2.0,58.39
2426,other,3.0,2400.0,3.0,260.0
2427,Whitefield,3.0,1635.0,2.0,85.0
2428,Rajaji Nagar,4.0,3526.0,4.0,558.0
2430,other,3.0,2770.0,3.0,460.0
2433,Akshaya Nagar,3.0,1720.0,3.0,134.0
2434,Frazer Town,3.0,2000.0,3.0,200.0
2435,Yeshwanthpur,2.0,1185.0,2.0,75.84
2436,Varthur Road,2.0,900.0,2.0,27.0
2437,Attibele,1.0,395.0,1.0,10.25
2438,Electronic City Phase II,2.0,1031.0,2.0,56.35
2440,Thanisandra,4.0,2650.0,4.0,240.0
2441,Basaveshwara Nagar,5.0,2400.0,5.0,415.0
2443,Hennur,2.0,1259.0,2.0,57.0
2444,Raja Rajeshwari Nagar,3.0,1570.0,3.0,88.0
2446,Whitefield,2.0,1216.0,2.0,79.0
2448,Begur Road,2.0,1160.0,2.0,40.59
2451,Harlur,3.0,1754.0,3.0,135.0
2452,Rayasandra,3.0,1639.0,3.0,83.0
2453,Hennur Road,3.0,1804.0,3.0,102.0
2456,Begur Road,2.0,1260.0,2.0,46.62
2458,Hennur Road,3.0,2160.0,3.0,160.0
2461,Margondanahalli,2.0,1200.0,2.0,67.0
2462,Yelahanka,2.0,1300.0,2.0,65.0
2463,Cox Town,1.0,605.0,1.0,29.0
2465,Bhoganhalli,2.0,1444.0,2.0,75.97
2466,Amruthahalli,2.0,924.0,2.0,45.0
2467,Kaikondrahalli,2.0,1000.0,2.0,30.0
2469,other,3.0,1200.0,3.0,225.0
2470,Bisuvanahalli,2.0,845.0,2.0,29.0
2472,Kothanur,2.0,1187.0,2.0,58.0
2474,Devarachikkanahalli,2.0,1200.0,2.0,83.0
2476,other,3.0,2357.0,3.0,151.0
2477,Kaval Byrasandra,2.0,1200.0,2.0,49.5
2479,Basavangudi,1.0,600.0,1.0,97.5
2481,other,2.0,1170.0,2.0,105.0
2482,Somasundara Palya,2.0,1448.0,2.0,68.0
2483,Kadugodi,3.0,1762.0,3.0,110.0
2484,Kaggadasapura,2.0,1105.0,2.0,38.65
2485,Yelahanka,3.0,1825.0,3.0,105.0
2490,Hulimavu,2.0,1058.0,2.0,48.0
2491,Bellandur,2.0,1220.0,2.0,60.0
2492,Sarjapur,2.0,925.0,2.0,25.0
2493,Old Madras Road,2.0,1200.0,2.0,72.0
2496,other,3.0,1411.0,3.0,91.72
2498,Green Glen Layout,4.0,3250.0,4.0,230.0
2499,Haralur Road,3.0,2475.0,4.0,130.0
2500,Jakkur,4.0,3181.0,2.0,260.5
2501,7th Phase JP Nagar,4.0,2503.0,4.0,188.0
2502,Marathahalli,4.0,2524.0,5.0,190.0
2503,Kaggadasapura,2.0,1063.0,2.0,42.0
2507,Jalahalli,2.0,1045.0,2.0,76.77
2509,Hoodi,2.0,1400.0,2.0,78.0
2511,other,3.0,3095.0,3.0,375.0
2513,Sarjapur  Road,3.0,1680.0,3.0,112.0
2515,Gottigere,2.0,950.0,2.0,38.0
2517,Banashankari Stage V,3.0,1305.0,2.0,49.0
2519,Kodichikkanahalli,5.0,2700.0,7.0,125.0
2520,other,3.0,1100.0,3.0,78.0
2521,Thanisandra,6.0,3500.0,5.0,160.0
2522,Begur Road,3.0,1634.0,3.0,83.33
2523,Prithvi Layout,2.0,1352.0,2.0,85.0
2526,7th Phase JP Nagar,3.0,2200.0,3.0,190.0
2527,Bommasandra Industrial Area,2.0,1020.0,2.0,39.0
2528,other,4.0,3600.0,4.0,365.0
2529,Raja Rajeshwari Nagar,2.0,1168.0,2.0,61.0
2530,Electronic City Phase II,2.0,1205.0,2.0,75.0
2531,Yeshwanthpur,2.0,1195.0,2.0,100.0
2532,CV Raman Nagar,2.0,1028.0,2.0,49.0
2534,Pai Layout,3.0,1550.0,2.0,90.0
2535,Yeshwanthpur,3.0,1826.0,3.0,165.0
2536,Hoodi,5.0,2400.0,5.0,160.0
2537,Yelahanka,3.0,1603.0,3.0,96.0
2539,KR Puram,1.0,714.0,1.0,28.0
2541,Malleshpalya,3.0,1405.0,2.0,77.0
2542,KR Puram,2.0,1142.0,2.0,51.0
2545,Subramanyapura,2.0,1313.0,2.0,73.0
2546,other,3.0,1945.0,3.0,120.0
2547,Thanisandra,3.0,1573.0,3.0,95.0
2548,Sarjapur  Road,2.0,1255.0,2.0,92.0
2549,Benson Town,4.0,1400.0,3.0,91.15
2550,Kannamangala,2.0,1235.0,2.0,43.63
2553,Vittasandra,2.0,1238.0,2.0,67.0
2555,Thigalarapalya,2.0,1418.0,2.0,103.0
2556,other,3.0,1650.0,3.0,165.0
2557,Anekal,1.0,351.0,1.0,16.0
2558,Uttarahalli,2.0,1279.0,2.0,48.0
2559,Kasavanhalli,3.0,1870.0,3.0,200.0
2560,other,4.0,1500.0,5.0,230.0
2561,Hebbal,3.0,2526.0,2.0,250.0
2562,other,3.0,1550.0,2.0,150.0
2566,other,3.0,1150.0,2.0,75.0
2568,other,3.0,1200.0,3.0,74.0
2569,Dasanapura,2.0,965.0,2.0,42.5
2571,Bhoganhalli,2.0,1447.0,2.0,75.97
2572,other,3.0,1229.0,3.0,86.03
2573,Kudlu,2.0,1027.0,2.0,43.0
2574,Gottigere,2.0,1153.0,2.0,48.5
2576,Malleshpalya,2.0,1065.0,2.0,50.0
2578,Mallasandra,2.0,1340.0,2.0,61.0
2580,other,1.0,600.0,1.0,32.0
2582,Varthur,2.0,1055.0,2.0,45.35
2583,Yelahanka,2.0,1304.0,2.0,79.0
2584,other,4.0,2720.0,4.0,485.0
2585,Kammasandra,2.0,990.0,2.0,31.5
2586,7th Phase JP Nagar,2.0,1035.0,2.0,39.33
2587,Tumkur Road,1.0,700.0,1.0,30.09
2588,Sonnenahalli,2.0,1120.0,2.0,43.0
2589,Haralur Road,2.0,1300.0,2.0,73.0
2590,Tumkur Road,2.0,1239.0,2.0,82.0
2592,Hosa Road,2.0,1365.0,2.0,92.0
2593,other,2.0,1165.0,2.0,135.0
2595,Green Glen Layout,3.0,1776.42,3.0,105.0
2597,Haralur Road,2.0,1194.0,2.0,47.0
2599,Nagavara,3.0,2319.0,3.0,180.0
2601,Kannamangala,3.0,1536.0,3.0,89.0
2602,other,4.0,3000.0,4.0,240.0
2604,Hoodi,3.0,1850.0,3.0,146.0
2605,Billekahalli,2.0,1112.0,2.0,62.0
2608,Banashankari,4.0,2400.0,3.0,370.0
2610,Kalena Agrahara,2.0,1187.0,2.0,52.0
2611,9th Phase JP Nagar,2.0,1164.0,2.0,56.0
2612,Electronic City Phase II,3.0,1395.0,2.0,62.78
2613,Arekere,3.0,2072.0,3.0,108.0
2615,Bannerghatta Road,3.0,1550.0,3.0,82.0
2619,Bisuvanahalli,3.0,1075.0,2.0,47.0
2622,Kaggadasapura,3.0,1470.0,2.0,75.0
2624,Hosur Road,3.0,1590.0,2.0,125.0
2626,Raja Rajeshwari Nagar,2.0,1306.0,2.0,55.91
2627,Malleshwaram,3.0,2000.0,3.0,250.0
2631,Ramagondanahalli,2.0,1215.0,2.0,51.26
2633,Dodda Nekkundi,2.0,1390.0,2.0,60.0
2636,Hoodi,2.0,1196.0,2.0,71.74
2638,Thigalarapalya,2.0,1418.0,2.0,101.0
2639,Varthur Road,3.0,1655.0,3.0,115.0
2640,KR Puram,2.0,1115.0,2.0,33.45
2642,Anekal,2.0,1035.0,2.0,38.3
2645,Thanisandra,3.0,1917.0,3.0,122.0
2647,Marathahalli,2.0,1071.0,2.0,52.25
2648,Koramangala,2.0,1325.0,2.0,119.0
2650,5th Phase JP Nagar,3.0,1400.0,2.0,88.0
2651,Tumkur Road,2.0,1246.0,2.0,82.0
2652,Sarjapur,2.0,1215.0,2.0,40.0
2653,Munnekollal,2.0,1200.0,2.0,49.5
2655,Kodigehaali,2.0,1200.0,2.0,60.0
2656,Kaval Byrasandra,2.0,945.0,2.0,50.0
2657,Benson Town,4.0,4460.0,5.0,650.0
2658,Hormavu,2.0,1175.0,2.0,52.0
2659,Whitefield,2.0,920.0,2.0,63.0
2660,Hosakerehalli,4.0,3024.0,5.0,350.0
2665,Ardendale,3.0,1750.0,3.0,100.0
2666,Uttarahalli,3.0,1425.0,2.0,64.0
2667,Basavangudi,3.0,2150.0,3.0,265.0
2669,Kaggadasapura,2.0,1050.0,2.0,48.0
2671,Electronic City,3.0,1374.0,2.0,72.0
2672,Harlur,3.0,1754.0,3.0,124.0
2673,Kothanur,3.0,1847.0,3.0,110.0
2674,Ambedkar Nagar,3.0,1850.0,4.0,139.0
2675,Chikka Tirupathi,3.0,3297.0,3.0,135.0
2679,Chamrajpet,2.0,1350.0,2.0,180.0
2680,Doddaballapur,3.0,3000.0,2.0,120.0
2681,Thanisandra,1.0,693.0,1.0,34.3
2682,other,3.0,1980.0,3.0,224.0
2683,KR Puram,2.0,1021.0,2.0,48.0
2684,Thigalarapalya,2.0,1165.0,2.0,95.0
2685,Horamavu Agara,3.0,1756.0,3.0,92.0
2686,Bharathi Nagar,3.0,1739.0,3.0,105.0
2687,Varthur,2.0,1280.0,2.0,65.0
2688,Marathahalli,2.0,1215.0,2.0,58.86
2689,Munnekollal,2.0,950.0,2.0,46.5
2690,Kengeri,3.0,1082.0,2.0,49.0
2691,7th Phase JP Nagar,2.0,1050.0,2.0,42.0
2693,Arekere,2.0,1100.0,2.0,55.0
2694,Ardendale,4.0,3200.0,4.0,205.0
2695,Sarjapur  Road,2.0,1311.0,2.0,78.0
2696,Raja Rajeshwari Nagar,3.0,1608.0,3.0,67.98
2697,Begur Road,2.0,1160.0,2.0,36.0
2698,Whitefield,2.0,1170.0,2.0,71.0
2700,Hebbal,3.0,1255.0,2.0,77.68
2701,Rayasandra,2.0,1065.0,2.0,44.95
2702,Neeladri Nagar,1.0,674.0,1.0,21.0
2703,Ambedkar Nagar,3.0,1936.0,4.0,126.0
2704,Sarakki Nagar,3.0,2289.0,3.0,260.0
2706,Ramagondanahalli,3.0,2257.0,4.0,157.0
2707,Nagarbhavi,2.0,1055.0,2.0,55.0
2709,other,3.0,1700.0,3.0,97.0
2710,Raja Rajeshwari Nagar,3.0,1575.0,2.0,78.0
2711,Frazer Town,3.0,3500.0,4.0,330.0
2712,Rajiv Nagar,2.0,1263.0,2.0,93.32
2714,Kengeri Satellite Town,2.0,1043.0,2.0,65.0
2715,Hennur,2.0,1255.0,2.0,53.5
2716,JP Nagar,2.0,1352.5,2.0,93.865
2717,Chandapura,1.0,590.0,1.0,13.57
2718,Yelahanka,3.0,1550.0,3.0,120.0
2720,other,3.0,1900.0,3.0,160.0
2723,8th Phase JP Nagar,3.0,1455.0,3.0,73.31
2724,KR Puram,2.0,1035.0,2.0,40.5
2725,Harlur,2.0,1152.0,2.0,69.0
2726,Bellandur,2.0,1299.0,2.0,82.0
2727,Sarjapur  Road,3.0,1157.0,2.0,75.0
2729,Pai Layout,2.0,1050.0,2.0,40.0
2730,Vittasandra,2.0,1246.0,2.0,67.4
2731,other,3.0,1929.0,3.0,115.0
2732,Hennur,2.0,1285.0,2.0,60.0
2735,BTM 2nd Stage,3.0,1850.0,3.0,170.0
2736,Sompura,3.0,1025.0,2.0,37.0
2737,Malleshwaram,2.0,1124.0,3.0,80.0
2739,Giri Nagar,7.0,4500.0,5.0,250.0
2740,8th Phase JP Nagar,2.0,871.0,2.0,55.0
2743,other,3.0,3515.0,3.0,420.0
2744,Akshaya Nagar,3.0,1410.0,2.0,80.0
2746,Whitefield,2.0,1118.0,2.0,75.0
2747,Thanisandra,2.0,1098.0,2.0,68.0
2748,Kanakapura,2.0,1130.0,2.0,45.2
2749,Sarjapur  Road,2.0,1145.0,2.0,75.0
2750,Kadugodi,3.0,950.0,3.0,80.0
2753,Marathahalli,2.0,1102.0,2.0,53.67
2754,Jalahalli,2.0,1478.0,2.0,125.0
2755,Chandapura,1.0,645.0,1.0,16.45
2756,Hebbal,2.0,823.0,2.0,50.63
2757,Abbigere,2.0,880.0,2.0,35.0
2761,Gubbalala,3.0,1745.0,3.0,115.0
2762,HAL 2nd Stage,2.0,1226.0,3.0,135.0
2765,Banashankari Stage VI,4.0,1200.0,4.0,195.0
2766,5th Phase JP Nagar,2.0,1450.0,2.0,58.0
2768,Sahakara Nagar,2.0,1150.0,2.0,54.0
2770,Banashankari Stage VI,4.0,2200.0,4.0,195.0
2771,Bommanahalli,2.0,1090.0,3.0,44.0
2772,Kaggadasapura,2.0,1132.0,2.0,42.0
2773,Hulimavu,2.0,1375.0,2.0,80.0
2774,7th Phase JP Nagar,4.0,1500.0,5.0,220.0
2775,Thanisandra,1.0,760.0,1.0,50.3
2776,Kaggadasapura,2.0,1180.0,2.0,65.0
2777,Jigani,2.0,918.0,2.0,45.0
2779,Margondanahalli,2.0,1200.0,1.0,53.0
2780,HSR Layout,2.0,1372.0,2.0,61.0
2781,other,7.0,2400.0,7.0,355.0
2782,Ardendale,3.0,1728.0,3.0,95.0
2783,Malleshwaram,3.0,2215.0,3.0,275.0
2784,BTM 2nd Stage,2.0,1200.0,2.0,80.0
2785,6th Phase JP Nagar,2.0,1280.0,2.0,56.0
2788,Rachenahalli,1.0,440.0,1.0,28.0
2789,Kanakpura Road,3.0,1500.0,3.0,97.0
2790,Whitefield,3.0,1800.0,3.0,110.0
2791,Mysore Road,3.0,1525.0,3.0,96.0
2793,Old Madras Road,2.0,1225.0,2.0,53.55
2795,Bannerghatta Road,3.0,1650.0,3.0,122.0
2800,9th Phase JP Nagar,2.0,1005.0,2.0,42.0
2801,Whitefield,3.0,1562.0,3.0,103.0
2804,Ramamurthy Nagar,2.0,1200.0,2.0,42.0
2806,KR Puram,2.0,1550.0,2.0,71.0
2808,Chikkalasandra,2.0,1070.0,2.0,50.0
2810,Jalahalli East,2.0,1020.0,2.0,42.48
2811,Yelahanka,3.0,1610.0,3.0,115.0
2812,other,1.0,700.0,1.0,41.0
2814,Hebbal,2.0,1420.0,2.0,123.0
2816,Hebbal,3.0,1069.0,3.0,65.4
2817,Marathahalli,3.0,1900.0,3.0,123.0
2818,Old Airport Road,2.0,1655.0,2.0,97.65
2819,Uttarahalli,2.0,1155.0,2.0,40.42
2820,Sarjapur  Road,3.0,1300.0,2.0,70.0
2822,Doddathoguru,2.0,1030.0,2.0,42.0
2823,Vittasandra,2.0,2105.0,2.0,70.2
2824,Bhoganhalli,3.0,1700.0,3.0,126.0
2825,Jakkur,3.0,1760.0,3.0,139.0
2829,Bannerghatta Road,2.0,912.0,2.0,55.0
2832,Haralur Road,2.0,1243.0,2.0,46.0
2833,Jigani,2.0,918.0,2.0,63.2
2834,Begur Road,3.0,1500.0,2.0,70.0
2835,other,3.0,3000.0,3.0,250.0
2836,Kasavanhalli,3.0,1476.0,3.0,89.0
2837,Mysore Road,2.0,1200.0,2.0,65.0
2838,Vijayanagar,1.0,606.0,1.0,34.78
2840,Garudachar Palya,3.0,1295.0,2.0,59.5
2841,Neeladri Nagar,1.0,527.0,1.0,26.0
2842,OMBR Layout,2.0,1300.0,2.0,80.0
2845,Koramangala,2.0,1140.0,2.0,75.2
2847,Whitefield,3.0,2321.0,4.0,128.0
2849,Sarjapur  Road,3.0,1725.0,3.0,90.0
2850,Hebbal,4.0,3067.0,4.0,310.0
2852,Kanakpura Road,2.0,1230.0,2.0,85.0
2853,other,1.0,600.0,1.0,17.0
2854,Yeshwanthpur,3.0,1313.0,3.0,96.0
2855,TC Palaya,2.0,900.0,2.0,55.0
2856,Ambalipura,2.0,1250.0,2.0,66.25
2858,Binny Pete,1.0,660.0,1.0,54.0
2859,Basavangudi,2.0,1036.0,2.0,105.0
2860,Koramangala,4.0,2700.0,4.0,450.0
2861,Old Madras Road,2.0,1100.0,2.0,70.0
2865,Electronics City Phase 1,2.0,1015.0,2.0,56.0
2866,Gottigere,1.0,812.0,1.0,26.0
2868,Nehru Nagar,3.0,2167.0,3.0,170.0
2869,Raja Rajeshwari Nagar,2.0,1200.0,2.0,35.0
2871,BTM 2nd Stage,2.0,1274.0,2.0,70.0
2872,Raja Rajeshwari Nagar,2.0,1151.0,2.0,39.02
2874,Thubarahalli,3.0,1626.0,2.0,120.0
2875,Banashankari Stage V,2.0,1035.0,2.0,35.77
2876,other,3.0,1272.0,4.0,75.0
2879,Kothannur,2.0,1070.0,2.0,42.79
2880,Raja Rajeshwari Nagar,3.0,1570.0,2.0,65.0
2883,other,3.0,1000.0,2.0,65.0
2884,9th Phase JP Nagar,4.0,1200.0,3.0,188.0
2886,5th Phase JP Nagar,3.0,1700.0,2.0,100.0
2887,Haralur Road,3.0,1850.0,3.0,110.0
2888,Kereguddadahalli,2.0,904.0,2.0,30.0
2891,Sahakara Nagar,2.0,1270.0,2.0,69.85
2893,other,3.0,2400.0,4.0,325.0
2894,Mahadevpura,1.0,730.0,1.0,35.0
2898,Varthur,2.0,977.0,2.0,36.0
2902,Jakkur,2.0,1290.0,2.0,100.0
2904,Abbigere,2.0,795.0,2.0,32.54
2906,other,2.0,1463.0,1.0,142.0
2907,Vijayanagar,3.0,1000.0,3.0,140.0
2909,other,3.0,2401.0,3.0,185.0
2910,Bommenahalli,4.0,1670.0,3.0,135.0
2911,other,3.0,1875.0,2.0,235.0
2912,Marsur,3.0,1200.0,3.0,90.0
2913,Dodda Nekkundi,3.0,1804.0,3.0,121.0
2914,1st Phase JP Nagar,3.0,2065.0,4.0,210.0
2915,Hoskote,3.0,1225.0,3.0,40.0
2917,Bellandur,2.0,900.0,2.0,56.0
2918,Binny Pete,2.0,1350.0,2.0,91.0
2919,Kaggalipura,1.0,700.0,1.0,36.0
2920,Mysore Road,2.0,1005.0,2.0,35.175
2921,Poorna Pragna Layout,2.0,1160.0,2.0,46.39
2922,Hennur Road,3.0,1680.0,3.0,99.27
2923,LB Shastri Nagar,2.0,1043.0,2.0,55.0
2924,Hoskote,4.0,1200.0,4.0,120.0
2925,Hebbal,2.0,1040.0,2.0,46.0
2926,Tindlu,3.0,1357.0,2.0,65.0
2930,Yelachenahalli,2.0,1130.0,2.0,40.0
2932,Sultan Palaya,3.0,1700.0,3.0,120.0
2933,Doddathoguru,3.0,1549.0,3.0,65.0
2934,Yeshwanthpur,2.0,1400.0,2.0,100.0
2935,Dodda Nekkundi,2.0,1080.0,2.0,50.0
2936,Ulsoor,2.0,1180.0,2.0,100.0
2938,Domlur,3.0,1800.0,3.0,150.0
2939,Haralur Road,2.0,1225.0,2.0,67.38
2940,other,1.0,890.0,1.0,75.0
2941,Abbigere,2.0,1005.0,2.0,39.59
2942,Whitefield,2.0,1320.0,2.0,95.0
2943,Anandapura,4.0,1475.0,2.0,50.0
2944,Kudlu Gate,3.0,1707.0,2.0,99.745
2948,Electronic City,2.0,1128.0,2.0,65.35
2949,Jakkur,2.0,1452.19,2.0,100.0
2950,other,3.0,2400.0,3.0,290.0
2951,Banashankari,3.0,2600.0,4.0,135.0
2952,Sarakki Nagar,3.0,2500.0,4.0,325.0
2953,Sanjay nagar,2.0,630.0,1.0,35.0
2954,Hosa Road,2.0,1243.0,2.0,48.5
2956,other,3.0,1690.0,3.0,100.0
2958,Banaswadi,2.0,1365.0,2.0,73.0
2960,Hebbal,2.0,1420.0,2.0,99.39
2962,Bisuvanahalli,2.0,850.0,1.0,32.0
2963,7th Phase JP Nagar,3.0,1575.0,2.0,110.0
2964,Thigalarapalya,2.0,1418.0,2.0,104.0
2965,Uttarahalli,2.0,1050.0,2.0,42.0
2966,Hennur Road,2.0,1065.0,2.0,42.6
2967,Ulsoor,3.0,1340.0,3.0,90.0
2969,Electronic City Phase II,2.0,1160.0,2.0,33.5
2970,Kudlu,2.0,1092.0,2.0,44.0
2971,Parappana Agrahara,2.0,1194.0,2.0,47.0
2973,Abbigere,1.0,734.0,1.0,19.82
2976,Ardendale,2.0,1100.0,2.0,48.0
2977,Bellandur,2.0,1350.0,2.0,79.0
2979,Electronic City,2.0,1128.0,2.0,65.0
2982,Kasavanhalli,3.0,1493.0,3.0,82.0
